Note: individual training accuracies are incorrect, but
the averages are fine.
year,test: train acc, test acc
1979 test 0: 0.6325133347578431, 0.640801
1979 test 1: 0.6209956357239259, 0.65832293
1979 test 2: 0.6585018208112862, 0.6345432
1979 test 3: 0.627400984971298, 0.65832293
1979 test 4: 0.642516144421954, 0.63579476
1979 test 5: 0.628537857860737, 0.62828535
1979 test 6: 0.6283393142667969, 0.6345432
1979 test 7: 0.6424449313996133, 0.63829786
1979 test 8: 0.6504467441484761, 0.6245307
1979 test 9: 0.6223965942234883, 0.6520651
1979 test 10: 0.6324350882428832, 0.64705884
1979 test 11: 0.6272298375538577, 0.6508135
1979 test 12: 0.6277176533943423, 0.64831036
1979 test 13: 0.6243821612847165, 0.640801
1979 test 14: 0.6370311251448675, 0.6433041
1979 test 15: 0.632967914831131, 0.6445557
1979 test 16: 0.6251210566139191, 0.640801
1979 test 17: 0.6595319249062276, 0.62578225
1979 test 18: 0.6294742774670578, 0.6445557
1979 test 19: 0.6273618913039994, 0.6508135
1979 test 20: 0.6262301468338178, 0.64580727
1979 test 21: 0.6272485005915239, 0.6508135
1979 test 22: 0.632484067762935, 0.63579476
1979 test 23: 0.6291246729132455, 0.640801
1979 test 24: 0.6255366881756819, 0.640801
1979 test 25: 0.6335828673276346, 0.6307885
1979 test 26: 0.6287405264560362, 0.6433041
1979 test 27: 0.6294945433260278, 0.63954943
1979 test 28: 0.62589469362745, 0.6345432
1979 test 29: 0.6261869984561197, 0.64705884
1979 test 30: 0.62344421141866, 0.63704634
1979 test 31: 0.6316683870531591, 0.63829786
1979 test 32: 0.6306075995207504, 0.6433041
1979 test 33: 0.6261024219362772, 0.6420526
1979 test 34: 0.620364180792855, 0.6545682
1979 test 35: 0.6278947297768092, 0.6545682
1979 test 36: 0.6241060006939275, 0.6420526
1979 test 37: 0.6226334566756319, 0.64580727
1979 test 38: 0.6263323528447348, 0.6433041
1979 test 39: 0.6481831945031322, 0.6295369
1979 test 40: 0.6284533180716041, 0.64831036
1979 test 41: 0.6239385301799738, 0.6545682
1979 test 42: 0.621239407298077, 0.64831036
1979 test 43: 0.6278457884514734, 0.6533166
1979 test 44: 0.628103539711319, 0.6558198
1979 test 45: 0.624243648375416, 0.64831036
1979 test 46: 0.6306152085870392, 0.63704634
1979 test 47: 0.6264238111716748, 0.65957445
1979 test 48: 0.6250196591215453, 0.65832293
1979 test 49: 0.6261553816189604, 0.6332916
1979 averages 49: 0.6717977833747864, 0.6435794758796692
