Note: individual training accuracies are incorrect, but
the averages are fine.
year,test: train acc, test acc
1979 test 0: 0.6264006234285828, 0.64580727
1979 test 1: 0.6242126491018694, 0.64956194
1979 test 2: 0.6242195260810092, 0.6533166
1979 test 3: 0.62060212202193, 0.65707135
1979 test 4: 0.6227054640520201, 0.64956194
1979 test 5: 0.6262145531322989, 0.63704634
1979 test 6: 0.6273413732442749, 0.63954943
1979 test 7: 0.6532330251181118, 0.6307885
1979 test 8: 0.6282582112654428, 0.64956194
1979 test 9: 0.6285335211892227, 0.64956194
1979 test 10: 0.6258079801943708, 0.6520651
1979 test 11: 0.6297931145685486, 0.64831036
1979 test 12: 0.6245996061204298, 0.6508135
1979 test 13: 0.6260495058660662, 0.64580727
1979 test 14: 0.6339302123180394, 0.64580727
1979 test 15: 0.6335948460242328, 0.64580727
1979 test 16: 0.6268451810162864, 0.64956194
1979 test 17: 0.6271263984671895, 0.64956194
1979 test 18: 0.6278199823445014, 0.6545682
1979 test 19: 0.6222312344431653, 0.6545682
1979 test 20: 0.6308177090220816, 0.6433041
1979 test 21: 0.6226253435295425, 0.6545682
1979 test 22: 0.6242366577352914, 0.64580727
1979 test 23: 0.6239499800392101, 0.6533166
1979 test 24: 0.6270450871433125, 0.65707135
1979 test 25: 0.6602214817960137, 0.61076343
1979 test 26: 0.6237602473582806, 0.64705884
1979 test 27: 0.638818826288619, 0.62828535
1979 test 28: 0.6252313760833089, 0.65707135
1979 test 29: 0.6407679783667581, 0.6345432
1979 test 30: 0.6693676059520122, 0.62703377
1979 test 31: 0.6319333449546923, 0.62828535
1979 test 32: 0.6305469734610545, 0.64831036
1979 test 33: 0.62427182023755, 0.6420526
1979 test 34: 0.6248778706050486, 0.63954943
1979 test 35: 0.633374965860414, 0.64705884
1979 test 36: 0.6280078974334483, 0.6533166
1979 test 37: 0.6217394163354169, 0.6520651
1979 test 38: 0.6364967666137428, 0.640801
1979 test 39: 0.6257969806523287, 0.64956194
1979 test 40: 0.6258439993362254, 0.63704634
1979 test 41: 0.6316779951549815, 0.6433041
1979 test 42: 0.6334072512263276, 0.64831036
1979 test 43: 0.6262277029781079, 0.6420526
1979 test 44: 0.630460999006212, 0.63954943
1979 test 45: 0.6242441349850504, 0.64956194
1979 test 46: 0.6224248942980852, 0.65832293
1979 test 47: 0.624023283093944, 0.64831036
1979 test 48: 0.6300592212582261, 0.6445557
1979 test 49: 0.6284353267797764, 0.63954943
1979 averages 49: 0.6726954853534699, 0.6453817248344421
1981 test 0: 0.6234299920368777, 0.6508135
1981 test 1: 0.6250930637149176, 0.64956194
1981 test 2: 0.6324795658685015, 0.6445557
1981 test 3: 0.6284371890659177, 0.640801
1981 test 4: 0.6430898401443292, 0.63704634
1981 test 5: 0.6305956538668711, 0.6420526
1981 test 6: 0.6256071650638747, 0.64831036
1981 test 7: 0.6296711404142302, 0.6420526
1981 test 8: 0.6230049667616511, 0.64705884
1981 test 9: 0.6454221907191827, 0.63204
1981 test 10: 0.6240735699810805, 0.6558198
